fraud bank credit_card monetary
1 0 3 5 6738640
2 1 3 2 1103370
3 1 1 2 2073170
4 1 4 2 4420240
5 0 4 4 631040
6 1 2 3 1495760
7 1 1 1 3905430
8 0 2 6 5938940
9 1 3 4 5325980
10 0 2 3 6637380
11 0 4 4 2244440
12 0 1 4 1980480
13 1 1 6 876870
14 0 2 5 1441040
15 1 1 2 4214640
16 0 3 2 6866120
17 0 4 3 3237150
18 0 3 4 1398630
19 0 2 6 2672000
20 1 1 3 6498030
21 0 3 5 4388020
22 1 2 4 1556910
23 0 4 2 146050
24 0 4 6 1431640
25 1 2 4 5555180
26 1 1 4 1104030
27 1 1 2 1663460
28 1 4 5 2362640
29 1 2 5 5810020
30 0 1 4 783890
31 0 4 5 5676420
32 0 3 4 5467430
33 0 3 4 5452880
34 1 3 1 3618670
35 0 1 3 429630
36 0 2 1 3323620
37 0 1 5 1077600
38 0 3 6 4996820
39 1 2 3 3490410
40 1 3 5 1828730
41 0 2 2 1208050
42 1 2 4 1396440
43 1 2 5 3558310
44 0 3 2 522510
45 0 2 3 315920
46 1 3 5 4893230
47 1 2 2 5374250
48 0 4 2 5330630
49 0 4 2 3183970
50 0 3 2 1585580
51 0 3 2 1900840
52 0 4 2 2540220
53 0 4 6 52740
54 1 2 6 940930
55 0 3 3 561580
56 1 3 4 3197770
57 0 3 4 6022480
58 0 3 5 6316210
59 0 2 4 4197090
60 0 4 5 1340950
61 1 2 3 6574390
62 0 4 4 5850100
63 0 3 4 4154850
64 1 3 5 2736870
65 0 3 5 653220
66 0 2 3 2083460
67 0 4 5 2505340
68 0 1 2 5016280
69 0 1 2 4623950
70 0 1 6 3565650
71 0 3 3 827850
72 0 4 2 622600
73 0 4 4 6922840
74 0 2 1 5172240
75 0 4 3 5918370
76 0 3 6 4614570
77 0 3 2 1551000
78 1 3 2 3690030
79 0 1 5 4032050
80 1 1 2 3810360
81 0 4 3 6341650
82 0 2 4 6054370
83 0 2 1 1608350
84 0 4 4 4351970
85 1 3 3 3944950
86 0 2 5 320550
87 0 2 3 3433840
88 0 2 1 1405710
89 0 1 2 912760
90 1 2 5 5237150
91 0 2 2 5854740
92 1 1 2 3416760
93 0 2 5 836720
94 0 2 2 2972000
95 1 2 2 404520
96 0 2 4 2188920
97 0 4 5 1258050
98 0 2 4 6665940
99 0 2 2 842660
100 0 3 6 6562890
101 0 3 3 1126860
102 0 3 4 3199230
103 0 4 1 1143840
104 0 3 5 5865210
105 1 2 2 5635680
106 1 2 4 1070740
107 1 1 2 1928400
108 0 2 4 2477150
109 0 3 3 2190010
110 0 2 6 6540770
111 0 4 4 6665060
112 0 4 1 41930
113 0 3 2 6516760
114 0 1 5 583140
115 0 3 2 1072290
116 0 3 6 2211670
117 1 2 4 3595510
118 0 2 3 4316390
119 1 1 5 6275570
120 0 3 5 1420300
121 1 2 6 726040
122 1 2 5 477000
123 0 3 4 6736280
124 0 3 3 6338840
125 0 3 2 6240740
126 0 4 4 5755660
127 1 1 6 3331720
128 0 4 4 1867020
129 0 2 2 2363400
130 0 4 6 6920970
131 1 2 4 5978390
132 0 2 3 6203410
133 0 2 4 5341450
134 0 3 5 5101380
135 0 2 2 517450
136 0 3 3 3344160
137 0 4 4 2817370
138 0 3 2 6990510
139 0 2 5 2689980
140 1 1 5 2978350
141 0 2 1 6355640
142 1 4 3 6455080
143 0 4 4 2476980
144 0 3 1 5598840
145 0 4 3 6503550
146 0 3 5 4447350
147 0 2 2 723370
148 0 3 5 701660
149 1 1 1 4432490
150 0 1 6 434370
151 1 1 4 2540330
152 0 2 2 2990210
153 1 2 5 4954640
154 0 3 1 4844340
155 0 3 4 4379630
156 1 4 5 5864550
157 0 2 4 305860
158 1 1 2 3716200
159 0 2 2 3289860
160 0 3 6 6292000
161 0 2 2 2519910
162 0 2 4 6215530
163 1 2 2 2790930
164 0 2 2 5652150
165 0 2 3 6852490
166 0 1 6 636230
167 0 4 3 862720
168 0 3 3 1753860
169 0 3 5 1682360
170 0 3 3 6305020
171 0 3 5 579310
172 0 3 3 206590
173 0 3 3 2205280
174 1 2 3 2500860
175 0 4 2 4803150
176 1 2 4 5696590
177 0 2 6 5607600
178 1 3 3 4563550
179 0 3 4 6066950
180 0 3 2 6203850
181 0 3 3 5227310
182 0 4 1 2818420
183 0 2 4 179360
184 1 2 6 1147760
185 0 4 5 3378740
186 0 2 3 5819300
187 0 3 5 3835510
188 0 2 4 5697320
189 0 2 3 1433080
190 0 2 5 1208960
191 1 2 3 846310
192 0 3 2 2721830
193 0 3 4 3098280
194 0 4 3 471410
195 1 2 3 1974460
196 0 2 3 2532760
197 0 3 3 2687550
198 1 4 4 1160530
199 0 3 3 4049380
200 0 4 5 5026370
201 0 3 3 481340
202 1 2 5 5485780
203 1 1 1 2309310
204 0 4 5 3359010
205 1 1 2 918810
206 1 3 5 6596970
207 0 1 4 847030
208 1 1 4 1266610
209 0 3 5 6113330
210 0 2 2 3871690
211 0 4 3 1271170
212 0 2 4 6648060
213 0 2 5 4703540
214 0 3 5 799190
215 1 2 4 3904150
216 1 3 6 508750
217 0 1 6 1621890
218 1 1 5 6196540
219 0 1 4 831000
220 1 2 5 5798760
221 0 3 2 5696410
222 0 3 3 183940
223 1 1 1 1316820
224 0 3 2 3071430
225 0 2 4 6555160
226 1 3 2 4797850
227 0 2 5 1947700
228 0 4 5 6529280
229 0 2 2 3447880
230 1 2 2 5817010
231 0 4 4 6808470
232 0 3 6 839600
233 0 2 5 6362310
234 0 3 4 3059030
235 1 1 5 4173720
236 0 2 3 1259170
237 1 2 2 1367490
238 0 2 1 3179770
239 0 4 3 5445560
240 0 3 2 3171220
241 0 2 1 2301970
242 1 1 3 4609840
243 1 3 4 4471730
244 0 2 4 2914080
245 0 1 2 2821050
246 0 3 2 3851210
247 0 2 5 5882010
248 0 2 3 1949980
249 0 3 2 3315960
250 0 3 3 4303180
251 0 4 4 3898890
252 0 4 4 4225330
253 1 2 1 348960
254 1 4 3 956340
255 1 4 4 2878530
256 0 3 4 4718670
257 1 2 5 6037160
258 1 3 3 693780
259 0 2 2 6394210
260 0 2 4 4624170
261 0 2 4 1004760
262 0 2 5 2607700
263 1 3 2 439550
264 1 3 5 6908390
265 1 3 2 6828860
266 0 3 4 199560
267 0 4 5 5061150
268 1 3 3 5689540
269 1 2 4 374170
270 0 3 5 6828450
271 1 2 2 3514080
272 0 3 2 1385490
273 1 2 4 253400
274 0 1 2 2859570
275 0 2 3 2294960
276 1 2 1 5938940
277 0 3 4 6927170
278 1 1 2 6576890
279 1 4 4 3595590
280 1 2 3 4264820
281 0 2 3 6964970
282 0 3 1 3320010
283 0 4 5 2900840
284 0 4 2 381820
285 1 2 3 6710950
286 0 4 2 4996940
287 1 1 3 5190120
288 1 4 5 190310
289 0 4 2 2516710
290 0 4 4 3226170
291 1 2 3 2535110
292 0 2 4 3898110
293 0 2 5 4761160
294 0 1 2 33950
295 0 1 1 4622730
296 0 3 4 3494510
297 0 1 4 4257490
298 0 2 4 2499310
299 0 2 6 4158800
300 0 3 5 3597830
301 0 2 6 4357210
302 1 3 3 4684060
303 1 2 2 3150420
304 1 2 1 2867660
305 0 3 4 4639130
306 0 4 4 3299370
307 1 1 6 4544300
308 0 2 2 6180600
309 0 2 1 2342120
310 0 3 6 6173820
311 0 3 5 4056130
312 0 2 3 1157470
313 0 3 4 6913050
314 1 4 5 6632190
315 0 4 6 5931440
316 1 2 1 5862900
317 1 2 5 4353810
318 1 4 2 524750
319 1 4 4 4564040
320 0 1 4 4835440
321 0 3 6 5541680
322 0 2 2 1757420
323 0 4 2 1236430
324 0 2 2 685730
325 0 3 5 4017850
326 0 1 5 3311700
327 0 2 4 2300060
328 1 2 4 2113380
329 0 2 2 2956180
330 0 4 4 5795200
331 0 3 6 1135130
332 0 3 5 4860900
333 0 1 5 6895710
334 0 3 2 2779400
335 1 3 4 5593950
336 1 1 4 3202850
337 0 3 4 6520590
338 0 4 3 3596200
339 0 1 3 3981700
340 1 3 1 1304060
341 0 4 3 5156960
342 1 3 4 5875490
343 0 4 5 4068000
344 0 2 2 2412140
345 0 3 5 3717710
346 0 3 2 614110
347 0 2 4 1643260
348 0 2 3 1065390
349 0 2 4 5238850
350 0 2 4 6675210
351 1 2 4 979520
352 0 3 1 144610
353 1 3 3 6971160
354 0 2 6 3847440
355 1 2 2 882330
356 1 1 2 3412280
357 0 2 3 348650
358 0 1 3 6323530
359 1 3 3 5848340
360 0 3 4 4387090
361 1 1 2 6400880
362 1 1 2 242290
363 0 2 1 6617190
364 0 2 5 5788630
365 1 1 1 2528150
366 0 3 4 238050
367 0 3 1 6383430
368 0 3 6 1397090
369 0 1 1 795210
370 0 2 2 4522790
371 1 2 3 5741180
372 1 3 5 4302630
373 1 1 6 702300
374 1 1 1 5270720
375 0 2 4 3897770
376 0 4 6 6806270
377 0 2 3 3379190
378 1 2 5 3320540
379 0 3 2 5621920
380 0 2 3 298450
381 0 2 5 5834960
382 1 2 1 515540
383 0 2 5 1137810
384 0 1 2 2471170
385 1 2 5 808250
386 0 1 6 6107600
387 1 2 1 5033330
388 0 2 5 2998080
389 0 2 4 2479320
390 0 2 2 415300
391 1 2 3 1290330
392 1 2 3 4471430
393 1 3 3 5176670
394 1 2 3 4855800
395 1 3 3 2664340
396 0 2 5 759230
397 0 3 3 5884670
398 0 2 5 3084870
399 0 2 4 434670
400 0 3 6 2476860
