monetary frequency purchase_price
1 3200 4 800
2 3400 5 680
3 4400 6 733.333333333333
4 11270 9 1252.22222222222
5 14630 6 2438.33333333333
6 48680 9 5408.88888888889
7 800 1 800
8 88730 11 8066.36363636364
9 11290 3 3763.33333333333
10 1800 3 600
11 43330 12 3610.83333333333
12 90070 9 10007.7777777778
13 39440 9 4382.22222222222
14 22760 4 5690
15 1200 3 400
16 700 2 350
17 56480 5 11296
18 36980 12 3081.66666666667
19 340 11 30.9090909090909
20 3170 7 452.857142857143
21 5680 11 516.363636363636
22 8440 6 1406.66666666667
23 11900 1 11900
24 1100 1 1100
25 5500 1 5500
26 7500 1 7500
27 1100 1 1100
28 800 1 800
29 6000 1 6000
30 200 1 200
31 600 1 600
32 25300 1 25300
33 45650 1 45650
34 1000 1 1000
35 700 1 700
36 600 1 600
37 800 1 800
38 7000 1 7000
39 700 1 700
40 900 1 900
41 300 1 300
42 2900 1 2900
43 30190 1 30190
44 24380 1 24380
45 400 1 400
46 23330 1 23330
47 700 1 700
48 8500 1 8500
49 900 1 900
50 20210 1 20210
51 7620 1 7620
52 19940 1 19940
53 600 1 600
54 12820 1 12820
55 500 1 500
56 38640 1 38640
57 1600 1 1600
58 10600 1 10600
59 5500 1 5500
60 700 1 700
61 14630 1 14630
62 4550 1 4550
63 600 1 600
64 5080 1 5080
65 200 1 200
66 14490 1 14490
67 28160 1 28160
68 1800 1 1800
69 14100 1 14100
70 33040 1 33040
71 1800 1 1800
72 200 1 200
73 600 1 600
74 200 1 200
75 20070 1 20070
76 400 1 400
77 1000 1 1000
78 500 1 500
79 600 1 600
80 700 1 700
81 700 1 700
82 1000 1 1000
83 6770 1 6770
84 800 1 800
85 1500 1 1500
86 22450 1 22450
87 800 1 800
88 1100 1 1100
89 18350 1 18350
90 13900 1 13900
91 19750 1 19750
92 400 1 400
93 7040 1 7040
94 9100 1 9100
95 10580 1 10580
96 500 1 500
97 14260 1 14260
98 5400 1 5400
99 13850 1 13850
100 17370 1 17370
101 5070 1 5070
102 1100 1 1100
103 1100 1 1100
104 12140 1 12140
105 900 1 900
106 800 1 800
107 900 1 900
108 4200 1 4200
109 700 1 700
110 1100 1 1100
111 1000 1 1000
112 1300 1 1300
113 8000 1 8000
114 6000 1 6000
115 159710 18 8872.77777777778
116 500 1 500
117 19140 1 19140
118 33900 1 33900
119 4100 1 4100
120 10500 1 10500
121 122660 14 8761.42857142857
122 6200 1 6200
123 8000 1 8000
124 200 1 200
125 500 1 500
126 3100 1 3100
127 300 1 300
128 161890 20 8094.5
129 61790 11 5617.27272727273
130 5200 1 5200
131 800 1 800
132 200 1 200
133 800 1 800
134 200 1 200
135 900 1 900
136 3900 1 3900
137 900 1 900
138 600 1 600
139 900 1 900
140 30 1 30
141 20 1 20
142 20 1 20
143 10 1 10
144 20 1 20
145 120 1 120
146 40 1 40
147 10 1 10
148 20 1 20
149 20 1 20
150 30 1 30
151 10 1 10
152 20 1 20
153 20 1 20
154 100 1 100
155 10 1 10
156 140 1 140
157 100 1 100
158 20 1 20
159 40 1 40
160 160 1 160
161 110 1 110
162 60 1 60
163 80 1 80
164 30 1 30
165 70 1 70
166 30 1 30
167 20 1 20
168 10 1 10
169 90 1 90
170 110 1 110
171 60 1 60
172 0 1 0
173 70 1 70
174 10 1 10
175 20 1 20
176 30 1 30
177 0 1 0
178 50 1 50
179 10 1 10
180 110 1 110
181 20 1 20
182 40 1 40
183 70 1 70
184 20 1 20
185 250 1 250
186 30 1 30
187 0 1 0
188 120 1 120
189 200 1 200
190 20 1 20
191 60 1 60
192 50 1 50
193 100 1 100
194 150 1 150
195 220 1 220
196 40 1 40
197 30 1 30
198 20 1 20
199 10 1 10
200 20 1 20
201 60 1 60
202 39280 1 39280
203 10 1 10
204 150 1 150
205 50 1 50
206 50 1 50
207 20 1 20
208 20 1 20
209 30 1 30
210 10 1 10
211 110 1 110
212 20 1 20
213 40 1 40
214 30 1 30
215 18970 1 18970
216 3200 1 3200
217 50 1 50
218 44460 1 44460
219 30 1 30
220 340 1 340
221 80 1 80
222 60 1 60
223 20 1 20
224 10 1 10
