"trans_id" "monetary" "frequency" "recency" "monetary_level" "frequency_level" "recency_level"
695247 3200 4 198 "L" "M" "L"
579373 3400 5 6 "L" "M" "H"
232960 4400 6 38 "L" "M" "M"
192096 11270 9 105 "M" "M" "M"
57433 14630 6 93 "M" "M" "M"
439035 48680 9 175 "H" "M" "L"
695720 800 1 97 "L" "L" "M"
857973 88730 11 90 "H" "M" "M"
119435 11290 3 75 "M" "M" "M"
529772 1800 3 81 "L" "M" "M"
63712 43330 12 166 "H" "M" "L"
347543 90070 9 116 "H" "M" "M"
142150 39440 9 57 "H" "M" "M"
783290 22760 4 31 "M" "M" "M"
330659 1200 3 103 "L" "M" "M"
131922 700 2 48 "L" "M" "M"
851325 56480 5 133 "H" "M" "M"
1190752 36980 12 39 "H" "M" "M"
3656579 340 11 122 "L" "M" "M"
3466049 3170 7 164 "L" "M" "L"
3556397 5680 11 122 "L" "M" "M"
1117691 8440 6 135 "M" "M" "M"
453138 11900 1 191 "M" "L" "L"
754232 1100 1 32 "L" "L" "M"
726266 5500 1 128 "L" "L" "M"
497553 7500 1 121 "L" "L" "M"
529229 1100 1 8 "L" "L" "H"
882361 800 1 78 "L" "L" "M"
505750 6000 1 144 "L" "L" "M"
251233 200 1 62 "L" "L" "M"
711848 600 1 173 "L" "L" "L"
145127 25300 1 49 "M" "L" "M"
144544 45650 1 151 "H" "L" "L"
332444 1000 1 43 "L" "L" "M"
1313152 700 1 138 "L" "L" "M"
1028980 600 1 122 "L" "L" "M"
275306 800 1 157 "L" "L" "L"
846309 7000 1 118 "L" "L" "M"
138712 700 1 92 "L" "L" "M"
1163520 900 1 179 "L" "L" "L"
2797771 300 1 188 "L" "L" "L"
192366 2900 1 67 "L" "L" "M"
695272 30190 1 183 "H" "L" "L"
783292 24380 1 138 "M" "L" "M"
122242 400 1 162 "L" "L" "L"
330661 23330 1 145 "M" "L" "M"
259747 700 1 79 "L" "L" "M"
566013 8500 1 89 "M" "L" "M"
286072 900 1 133 "L" "L" "M"
851327 20210 1 93 "M" "L" "M"
3393740 7620 1 207 "L" "L" "L"
101388 19940 1 125 "M" "L" "M"
184681 600 1 94 "L" "L" "M"
119437 12820 1 114 "M" "L" "M"
1157039 500 1 7 "L" "L" "H"
1100775 38640 1 137 "H" "L" "M"
1028004 1600 1 53 "L" "L" "M"
375032 10600 1 43 "M" "L" "M"
699588 5500 1 26 "L" "L" "H"
660834 700 1 11 "L" "L" "H"
1163522 14630 1 53 "M" "L" "M"
286074 4550 1 68 "L" "L" "M"
710066 600 1 17 "L" "L" "H"
1176387 5080 1 144 "L" "L" "M"
2442343 200 1 73 "L" "L" "M"
3122926 14490 1 130 "M" "L" "M"
615550 28160 1 134 "M" "L" "M"
612713 1800 1 143 "L" "L" "M"
622121 14100 1 82 "M" "L" "M"
1486060 33040 1 180 "H" "L" "L"
1021463 1800 1 179 "L" "L" "L"
655272 200 1 125 "L" "L" "M"
2349697 600 1 157 "L" "L" "L"
242366 200 1 90 "L" "L" "M"
144559 20070 1 100 "M" "L" "M"
775968 400 1 56 "L" "L" "M"
537875 1000 1 161 "L" "L" "L"
1238917 500 1 129 "L" "L" "M"
576752 600 1 33 "L" "L" "M"
1657153 700 1 205 "L" "L" "L"
434652 700 1 155 "L" "L" "L"
294480 1000 1 203 "L" "L" "L"
374591 6770 1 58 "L" "L" "M"
73509 800 1 140 "L" "L" "M"
110785 1500 1 50 "L" "L" "M"
882363 22450 1 144 "M" "L" "M"
2775579 800 1 95 "L" "L" "M"
846793 1100 1 76 "L" "L" "M"
3402666 18350 1 132 "M" "L" "M"
696164 13900 1 179 "M" "L" "L"
298980 19750 1 102 "M" "L" "M"
333296 400 1 2 "L" "L" "H"
259749 7040 1 88 "L" "L" "M"
858265 9100 1 27 "M" "L" "H"
858386 10580 1 109 "M" "L" "M"
469891 500 1 133 "L" "L" "M"
771037 14260 1 167 "M" "L" "L"
253162 5400 1 104 "L" "L" "M"
192098 13850 1 142 "M" "L" "M"
1117249 17370 1 69 "M" "L" "M"
695722 5070 1 67 "L" "L" "M"
649665 1100 1 70 "L" "L" "M"
237649 1100 1 48 "L" "L" "M"
608137 12140 1 78 "M" "L" "M"
42520 900 1 21 "L" "L" "H"
2190 800 1 201 "L" "L" "L"
1002957 900 1 151 "L" "L" "L"
3123297 4200 1 49 "L" "L" "M"
160593 700 1 97 "L" "L" "M"
1039105 1100 1 127 "L" "L" "M"
285072 1000 1 40 "L" "L" "M"
796787 1300 1 32 "L" "L" "M"
1176616 8000 1 85 "M" "L" "M"
119791 6000 1 37 "L" "L" "M"
137463 159710 18 126 "H" "H" "M"
711470 500 1 165 "L" "L" "L"
695251 19140 1 100 "M" "L" "M"
695562 33900 1 34 "H" "L" "M"
299430 4100 1 53 "L" "L" "M"
136148 10500 1 31 "M" "L" "M"
452238 122660 14 179 "H" "H" "L"
84101 6200 1 212 "L" "L" "L"
708372 8000 1 110 "M" "L" "M"
491813 200 1 50 "L" "L" "M"
269812 500 1 16 "L" "L" "H"
1183399 3100 1 5 "L" "L" "H"
293959 300 1 133 "L" "L" "M"
2810462 161890 20 64 "H" "H" "M"
1911147 61790 11 123 "H" "M" "M"
1256736 5200 1 198 "L" "L" "L"
1068640 800 1 93 "L" "L" "M"
726514 200 1 205 "L" "L" "L"
494941 800 1 39 "L" "L" "M"
883003 200 1 111 "L" "L" "M"
2780386 900 1 115 "L" "L" "M"
851694 3900 1 120 "L" "L" "M"
462811 900 1 13 "L" "L" "H"
105733 600 1 171 "L" "L" "L"
519751 900 1 23 "L" "L" "H"
3564254 30 1 124 "L" "L" "M"
3563618 20 1 97 "L" "L" "M"
3562938 20 1 161 "L" "L" "L"
695490 10 1 157 "L" "L" "L"
3591422 20 1 204 "L" "L" "L"
3617491 120 1 140 "L" "L" "M"
3618041 40 1 198 "L" "L" "L"
3618818 10 1 69 "L" "L" "M"
3619030 20 1 167 "L" "L" "L"
3673340 20 1 99 "L" "L" "M"
3580975 30 1 37 "L" "L" "M"
3578972 10 1 66 "L" "L" "M"
3579544 20 1 206 "L" "L" "L"
3559698 20 1 169 "L" "L" "L"
3558799 100 1 80 "L" "L" "M"
3561686 10 1 189 "L" "L" "L"
3558613 140 1 159 "L" "L" "L"
3453600 100 1 30 "L" "L" "M"
3509732 20 1 115 "L" "L" "M"
3520588 40 1 191 "L" "L" "L"
3574568 160 1 102 "L" "L" "M"
3654667 110 1 162 "L" "L" "L"
3659415 60 1 29 "L" "L" "H"
3656580 80 1 58 "L" "L" "M"
3657066 30 1 154 "L" "L" "L"
3460368 70 1 30 "L" "L" "M"
3458834 30 1 48 "L" "L" "M"
3456845 20 1 109 "L" "L" "M"
3459107 10 1 211 "L" "L" "L"
3553662 90 1 127 "L" "L" "M"
3552057 110 1 209 "L" "L" "L"
3551094 60 1 184 "L" "L" "L"
3652281 0 1 88 "L" "L" "M"
3629868 70 1 160 "L" "L" "L"
3585453 10 1 138 "L" "L" "M"
3583849 20 1 58 "L" "L" "M"
3584202 30 1 156 "L" "L" "L"
