trans_id monetary frequency recency monetary_level frequency_level recency_level vip
1 695247 3200 4 198 L M L 老馆
2 579373 3400 5 6 L M H 老馆
3 232960 4400 6 38 L M M 老馆
4 192096 11270 9 105 M M M 老馆
5 57433 14630 6 93 M M M 老馆
6 439035 48680 9 175 H M L 老馆
7 695720 800 1 97 L L M 老馆
8 857973 88730 11 90 H M M 老馆
9 119435 11290 3 75 M M M 老馆
10 529772 1800 3 81 L M M 老馆
11 63712 43330 12 166 H M L 老馆
12 347543 90070 9 116 H M M 老馆
13 142150 39440 9 57 H M M 老馆
14 783290 22760 4 31 M M M 老馆
15 330659 1200 3 103 L M M 老馆
16 131922 700 2 48 L M M 老馆
17 851325 56480 5 133 H M M 老馆
18 1190752 36980 12 39 H M M 老馆
19 3656579 340 11 122 L M M 老馆
20 3466049 3170 7 164 L M L 老馆
21 3556397 5680 11 122 L M M 老馆
22 1117691 8440 6 135 M M M 老馆
23 453138 11900 1 191 M L L 老馆
24 754232 1100 1 32 L L M 老馆
25 726266 5500 1 128 L L M 老馆
26 497553 7500 1 121 L L M 老馆
27 529229 1100 1 8 L L H 老馆
28 882361 800 1 78 L L M 老馆
29 505750 6000 1 144 L L M 老馆
30 251233 200 1 62 L L M 老馆
31 711848 600 1 173 L L L 老馆
32 145127 25300 1 49 M L M 老馆
33 144544 45650 1 151 H L L 老馆
34 332444 1000 1 43 L L M 老馆
35 1313152 700 1 138 L L M 老馆
36 1028980 600 1 122 L L M 老馆
37 275306 800 1 157 L L L 老馆
38 846309 7000 1 118 L L M 老馆
39 138712 700 1 92 L L M 老馆
40 1163520 900 1 179 L L L 老馆
41 2797771 300 1 188 L L L 老馆
42 192366 2900 1 67 L L M 老馆
43 695272 30190 1 183 H L L 老馆
44 783292 24380 1 138 M L M 老馆
45 122242 400 1 162 L L L 老馆
46 330661 23330 1 145 M L M 老馆
47 259747 700 1 79 L L M 老馆
48 566013 8500 1 89 M L M 老馆
49 286072 900 1 133 L L M 老馆
50 851327 20210 1 93 M L M 老馆
51 3393740 7620 1 207 L L L 老馆
52 101388 19940 1 125 M L M 老馆
53 184681 600 1 94 L L M 老馆
54 119437 12820 1 114 M L M 老馆
55 1157039 500 1 7 L L H 老馆
56 1100775 38640 1 137 H L M 老馆
57 1028004 1600 1 53 L L M 老馆
58 375032 10600 1 43 M L M 老馆
59 699588 5500 1 26 L L H 老馆
60 660834 700 1 11 L L H 老馆
61 1163522 14630 1 53 M L M 老馆
62 286074 4550 1 68 L L M 老馆
63 710066 600 1 17 L L H 老馆
64 1176387 5080 1 144 L L M 老馆
65 2442343 200 1 73 L L M 老馆
66 3122926 14490 1 130 M L M 老馆
67 615550 28160 1 134 M L M 老馆
68 612713 1800 1 143 L L M 老馆
69 622121 14100 1 82 M L M 老馆
70 1486060 33040 1 180 H L L 老馆
71 1021463 1800 1 179 L L L 老馆
72 655272 200 1 125 L L M 老馆
